date,team,player,status,injury,notes,expected_minutes_adjustment
2026-06-04,NYK,Jalen Brunson,Available,,No limitation,0
2026-06-04,NYK,OG Anunoby,Available,,No limitation,0
2026-06-04,NYK,Josh Hart,Available,,No limitation,0
2026-06-04,NYK,Mikal Bridges,Available,,No limitation,0
2026-06-04,NYK,Karl-Anthony Towns,Available,,No limitation,0
2026-06-04,NYK,Miles McBride,Available,,No limitation,0
2026-06-04,NYK,Mitchell Robinson,Available,,No limitation,0
2026-06-04,NYK,Jordan Clarkson,Available,,No limitation,0
2026-06-04,NYK,Landry Shamet,Available,,No limitation,0
2026-06-04,NYK,Jose Alvarado,Available,,No limitation,0
2026-06-04,NYK,Jeremy Sochan,Available,,No limitation,0
2026-06-04,NYK,Pacome Dadiet,Available,,No limitation,0
2026-06-04,SAS,Victor Wembanyama,Available,,No limitation,0
2026-06-04,SAS,De'Aaron Fox,Available,,No limitation,0
2026-06-04,SAS,Devin Vassell,Available,,No limitation,0
2026-06-04,SAS,Stephon Castle,Available,,No limitation,0
2026-06-04,SAS,Dylan Harper,Available,,No limitation,0
2026-06-04,SAS,Julian Champagnie,Available,,No limitation,0
2026-06-04,SAS,Keldon Johnson,Available,,No limitation,0
2026-06-04,SAS,Luke Kornet,Available,,No limitation,0
2026-06-04,SAS,Harrison Barnes,Available,,No limitation,0
2026-06-04,SAS,Carter Bryant,Available,,No limitation,0
