GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-1626157-1628404-1628969-1628973-,K. Towns - J. Hart - M. Bridges - J. Brunson,1610612752,NYK,16,14,2,0.875,282.938333,249,502,0.496,74,199,0.372,99,118,0.839,45,191,236,168,71.0,54,30,28,112,117,671,60.0,25,1,2085,715,2,1,2,1186,2,3,1067,5,7,921,10,3,4,1,3210,4,7,3208,3214,3,2,9,848815
Lineups,-1626157-1628384-1628969-1628973-,K. Towns - O. Anunoby - M. Bridges - J. Brunson,1610612752,NYK,14,12,2,0.857,269.611667,247,475,0.52,73,186,0.392,100,120,0.833,36,182,218,161,67.0,56,25,30,97,111,667,106.0,49,2,2085,728,3,2,4,751,3,4,987,4,6,923,22,4,7,2,3207,2,12,3211,3207,4,3,3,808835
Lineups,-1630170-1630577-1641705-1642264-,D. Vassell - J. Champagnie - V. Wembanyama - S. Castle,1610612759,SAS,19,11,8,0.579,268.13,228,488,0.467,84,227,0.37,106,123,0.862,56,200,256,143,67.0,53,46,24,103,122,646,122.0,2,9,3192,1136,4,6,3,1333,1,1,1070,2,4,851,4,1,2,5,3207,6,1,3202,3212,2,4,1,804390
Lineups,-1626157-1628384-1628404-1628973-,K. Towns - O. Anunoby - J. Hart - J. Brunson,1610612752,NYK,14,12,2,0.857,263.181667,237,466,0.509,68,180,0.378,95,112,0.848,38,181,219,154,66.0,54,27,27,100,102,637,80.0,49,2,2085,728,5,4,5,790,5,8,1020,6,9,900,18,5,5,3,3206,4,9,3206,3209,8,5,6,789545
Lineups,-1628384-1628404-1628969-1628973-,O. Anunoby - J. Hart - M. Bridges - J. Brunson,1610612752,NYK,14,12,2,0.857,260.638333,230,448,0.513,64,174,0.368,101,124,0.815,33,180,213,152,69.0,57,25,25,97,110,625,51.0,49,2,2085,728,6,5,6,773,10,10,1083,3,3,1001,26,6,9,4,3209,1,12,3203,3207,5,6,12,781915
Lineups,-1626157-1628384-1628404-1628969-,K. Towns - O. Anunoby - J. Hart - M. Bridges,1610612752,NYK,14,12,2,0.857,233.556667,210,410,0.512,59,158,0.373,79,96,0.823,29,155,184,140,57.0,50,24,23,83,91,558,47.0,49,2,2085,728,8,7,13,778,11,12,1066,15,18,988,31,12,15,6,3198,7,14,3201,3200,16,8,14,700670
Lineups,-1628368-1630170-1630577-1642264-,D. Fox - D. Vassell - J. Champagnie - S. Castle,1610612759,SAS,18,11,7,0.611,233.276667,200,431,0.464,66,184,0.359,95,111,0.856,45,174,219,125,56.0,47,41,21,94,107,561,86.0,6,9,3161,1070,9,8,7,1357,8,6,1117,6,11,888,10,7,5,9,3196,8,2,3198,3205,6,7,4,699830
Lineups,-1628368-1630577-1641705-1642264-,D. Fox - J. Champagnie - V. Wembanyama - S. Castle,1610612759,SAS,17,10,7,0.588,231.913333,200,422,0.474,67,186,0.36,88,106,0.83,44,164,208,122,56.0,44,35,20,87,106,555,79.0,14,19,3161,1126,10,8,9,1284,7,4,1114,9,13,980,13,10,11,10,3196,12,5,3196,3203,7,9,7,695740
Lineups,-1628368-1630170-1630577-1641705-,D. Fox - D. Vassell - J. Champagnie - V. Wembanyama,1610612759,SAS,17,10,7,0.588,229.688333,200,423,0.473,66,181,0.365,88,105,0.838,45,171,216,121,55.0,45,40,19,90,101,554,117.0,14,19,3161,1126,11,8,8,1297,8,7,1088,9,14,922,10,8,8,11,3195,9,3,3191,3204,9,10,2,689065
Lineups,-1628368-1630170-1641705-1642264-,D. Fox - D. Vassell - V. Wembanyama - S. Castle,1610612759,SAS,17,10,7,0.588,227.033333,199,412,0.483,68,179,0.38,85,103,0.825,43,170,213,126,57.0,44,37,19,100,95,551,86.0,14,19,3161,1126,13,11,11,1228,5,9,1017,13,15,985,14,9,9,8,3198,12,4,3191,3209,12,11,4,681100
Lineups,-1630170-1641705-1642264-1642844-,D. Vassell - V. Wembanyama - S. Castle - D. Harper,1610612759,SAS,19,11,8,0.579,119.915,86,198,0.434,31,88,0.352,66,77,0.857,34,101,135,54,47.0,19,17,14,55,72,269,43.0,2,9,3192,1136,37,44,41,1586,33,33,1138,21,25,853,25,25,24,39,3189,37,24,3176,3186,23,36,19,359745
Lineups,-1630577-1641705-1642264-1642844-,J. Champagnie - V. Wembanyama - S. Castle - D. Harper,1610612759,SAS,16,9,7,0.563,101.831667,78,172,0.453,33,88,0.375,37,45,0.822,27,75,102,48,38.0,14,14,10,30,46,226,25.0,25,37,3161,1153,47,52,48,1438,28,33,1021,53,63,990,33,40,39,52,3181,63,32,3146,3114,44,47,45,305495
Lineups,-1630170-1630577-1641705-1642844-,D. Vassell - J. Champagnie - V. Wembanyama - D. Harper,1610612759,SAS,15,9,6,0.6,95.078333,75,170,0.441,23,76,0.303,44,50,0.88,26,65,91,43,29.0,14,16,8,32,49,217,41.0,37,37,3129,1072,52,56,49,1538,59,45,1459,38,51,804,36,52,50,63,3160,63,25,3109,3121,38,50,24,285235
Lineups,-1629640-1630170-1642264-1642844-,K. Johnson - D. Vassell - S. Castle - D. Harper,1610612759,SAS,20,12,8,0.6,91.221667,72,162,0.444,19,56,0.339,53,68,0.779,25,78,103,47,32.0,19,11,11,45,54,216,30.0,1,2,3192,1072,54,58,51,1483,79,69,1164,29,31,1114,40,38,37,55,3169,37,49,3158,3170,34,52,30,273665
Lineups,-1630170-1630577-1642264-1642844-,D. Vassell - J. Champagnie - S. Castle - D. Harper,1610612759,SAS,18,10,8,0.556,85.733333,70,148,0.473,26,71,0.366,43,47,0.915,23,62,85,43,30.0,17,14,9,36,44,209,31.0,6,19,3192,1157,61,63,66,1295,45,50,1085,42,56,750,51,53,55,63,3164,45,32,3131,3138,48,56,29,257200
Lineups,-1626157-1628404-1628973-1630540-,K. Towns - J. Hart - J. Brunson - M. McBride,1610612752,NYK,12,11,1,0.917,81.358333,78,152,0.513,25,63,0.397,36,41,0.878,19,62,81,51,20.0,12,14,8,37,36,217,68.0,76,9,701,701,71,52,60,775,48,64,980,57,72,806,73,53,58,46,3108,87,32,3109,3142,70,50,8,244075
Lineups,-1629640-1630170-1641705-1642264-,K. Johnson - D. Vassell - V. Wembanyama - S. Castle,1610612759,SAS,17,9,8,0.529,81.175,58,137,0.423,19,54,0.352,44,55,0.8,25,58,83,40,31.0,12,6,11,41,49,179,-1.0,14,37,3192,1177,72,84,79,1682,79,75,1139,38,39,1019,40,59,57,68,3167,87,136,3158,3154,38,73,1707,243525
Lineups,-1628436-1630170-1642264-1642844-,L. Kornet - D. Vassell - S. Castle - D. Harper,1610612759,SAS,19,12,7,0.632,80.545,71,145,0.49,18,47,0.383,40,52,0.769,13,61,74,42,25.0,22,10,7,40,40,200,16.0,2,2,3161,1055,74,59,70,1201,89,103,1010,46,42,1134,133,56,65,66,3141,29,59,3078,3152,61,60,104,241635
