date,team,player,status,injury,notes,expected_minutes_adjustment
2026-06-03,NYK,Jalen Brunson,Available,,No limitation,0
2026-06-03,NYK,OG Anunoby,Available,,No limitation,0
2026-06-03,NYK,Josh Hart,Available,,No limitation,0
2026-06-03,NYK,Mikal Bridges,Available,,No limitation,0
2026-06-03,NYK,Karl-Anthony Towns,Available,,No limitation,0
2026-06-03,NYK,Miles McBride,Available,,No limitation,0
2026-06-03,NYK,Mitchell Robinson,Available,,No limitation,0
2026-06-03,NYK,Jordan Clarkson,Available,,No limitation,0
2026-06-03,NYK,Landry Shamet,Available,,No limitation,0
2026-06-03,SAS,Victor Wembanyama,Available,,No limitation,0
2026-06-03,SAS,De'Aaron Fox,Available,,No limitation,0
2026-06-03,SAS,Devin Vassell,Available,,No limitation,0
2026-06-03,SAS,Stephon Castle,Available,,No limitation,0
2026-06-03,SAS,Dylan Harper,Available,,No limitation,0
2026-06-03,SAS,Julian Champagnie,Available,,No limitation,0
2026-06-03,SAS,Keldon Johnson,Available,,No limitation,0
2026-06-03,SAS,Luke Kornet,Available,,No limitation,0
