gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0042500404,1610612759,San Antonio,Spurs,SAS,spurs,1630577,Julian,Champagnie,J. Champagnie,julian-champagnie,F,,,33:00,113.2,113.2,117.4,117.4,-4.2,-4.2,0.125,0.0,25.0,0.0,0.167,0.075,0.0,0.278,0.278,0.113,0.113,99.64,99.64,83.03,68.0,0.064
0042500404,1610612759,San Antonio,Spurs,SAS,spurs,1630170,Devin,Vassell,D. Vassell,devin-vassell,F,,,40:21,104.9,104.9,116.5,116.5,-11.5,-11.5,0.174,4.0,28.6,0.024,0.105,0.063,7.1,0.944,0.953,0.109,0.109,95.17,95.17,79.31,81.0,0.145
0042500404,1610612759,San Antonio,Spurs,SAS,spurs,1641705,Victor,Wembanyama,V. Wembanyama,victor-wembanyama,C,,,43:55,116.5,116.5,116.7,116.7,-0.2,-0.2,0.04,0.0,3.6,0.106,0.2,0.149,0.0,0.4,0.427,0.267,0.267,92.36,92.36,76.96,85.0,0.1
0042500404,1610612759,San Antonio,Spurs,SAS,spurs,1642264,Stephon,Castle,S. Castle,stephon-castle,G,,,25:56,98.1,98.1,118.5,118.5,-20.4,-20.4,0.357,1.67,26.3,0.071,0.12,0.094,15.8,0.357,0.618,0.226,0.226,99.93,99.93,83.27,54.0,0.102
0042500404,1610612759,San Antonio,Spurs,SAS,spurs,1628368,De'Aaron,Fox,D. Fox,deaaron-fox,G,,,37:25,112.2,112.2,109.3,109.3,2.8,2.8,0.292,1.75,25.0,0.047,0.083,0.063,14.3,0.5,0.533,0.239,0.239,95.57,95.57,79.64,74.0,0.101
0042500404,1610612759,San Antonio,Spurs,SAS,spurs,1642844,Dylan,Harper,D. Harper,dylan-harper,,,,32:16,117.5,117.5,103.3,103.3,14.1,14.1,0.188,1.0,15.8,0.0,0.121,0.065,15.8,0.792,0.815,0.222,0.222,91.5,91.5,76.25,63.0,0.162
0042500404,1610612759,San Antonio,Spurs,SAS,spurs,1629640,Keldon,Johnson,K. Johnson,keldon-johnson,,,,18:02,100.0,100.0,106.1,106.1,-6.1,-6.1,0.083,0.0,16.7,0.08,0.111,0.093,0.0,0.2,0.2,0.114,0.114,89.17,89.17,74.31,34.0,0.019
0042500404,1610612759,San Antonio,Spurs,SAS,spurs,1628436,Luke,Kornet,L. Kornet,luke-kornet,,,,4:05,58.3,58.3,81.8,81.8,-23.5,-23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.18,135.18,112.65,12.0,-0.222
0042500404,1610612759,San Antonio,Spurs,SAS,spurs,1642868,Carter,Bryant,C. Bryant,carter-bryant,,,,5:00,163.6,163.6,100.0,100.0,63.6,63.6,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.833,0.833,0.273,0.273,110.4,110.4,92.0,11.0,0.169
0042500404,1610612759,San Antonio,Spurs,SAS,spurs,203084,Harrison,Barnes,H. Barnes,harrison-barnes,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
